city,latitude,longitude,year,weaptype1_txt,targtype1_txt
Mosul,36.354146,43.143571,2015,Firearms,Private Citizens & Property
Baghdad,33.303567,44.371771,2015,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2015,Explosives,Business
Baghdad,33.303567,44.371771,2015,Explosives,Private Citizens & Property
Mahmudiyah,33.057992,44.354838,2015,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2015,Explosives,Educational Institution
Baghdad,33.303567,44.371771,2015,Explosives,Business
Baghdad,33.303567,44.371771,2015,Explosives,Private Citizens & Property
Ramadi,33.420949,43.295662,2015,Explosives,Military
Ramadi,33.420949,43.295662,2015,Explosives,Government (General)
Baghdad,33.303567,44.371771,2015,Firearms,Private Citizens & Property
Baghdad,33.303567,44.371771,2015,Firearms,Private Citizens & Property
Baghdad,33.303567,44.371771,2015,Explosives,Business
Baghdad,33.303567,44.371771,2015,Explosives,Private Citizens & Property
Abu Ghraib,33.31065,44.038206,2015,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2015,Explosives,Business
Baghdad,33.303567,44.371771,2015,Explosives,Business
Baghdad,33.303567,44.371771,2015,Explosives,Business
Baghdad,33.303567,44.371771,2015,Explosives,Military
Baghdad,33.303567,44.371771,2016,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2016,Explosives,Police
Ramadi,33.420949,43.295662,2016,Explosives,Private Citizens & Property
Latifiyah,32.982932,44.361597,2016,Explosives,Military
Baghdad,33.303567,44.371771,2016,Explosives,Private Citizens & Property
Ramadi,33.420949,43.295662,2016,Explosives,Journalists & Media
Fallujah,33.349159,43.784197,2016,Explosives,Military
Ramadi,33.420949,43.295662,2016,Explosives,Military
Baghdad,33.303567,44.371771,2016,Explosives,Government (Diplomatic)
Baghdad,33.303567,44.371771,2016,Explosives,Transportation
Baghdad,33.303567,44.371771,2016,Explosives,Business
Saba al-Bor,33.460821,44.157432,2016,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2016,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2016,Explosives,Government (General)
Mosul,36.354146,43.143571,2016,Firearms,Private Citizens & Property
Yusufiyah,33.07835,44.254721,2016,Explosives,Terrorists/Non-State Militia
Baghdad,33.303567,44.371771,2016,Explosives,Government (Diplomatic)
Baghdad,33.303567,44.371771,2016,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2016,Explosives,Government (General)
Baghdad,33.303567,44.371771,2016,Explosives,Private Citizens & Property
Yusufiyah,33.07835,44.254721,2016,Explosives,Private Citizens & Property
Ramadi,33.420949,43.295662,2016,Explosives,Military
Ramadi,33.420949,43.295662,2016,Explosives,Business
Husseiniyah,33.548307,44.415735,2016,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2016,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2016,Firearms,Terrorists/Non-State Militia
Madain,33.100528,44.584493,2016,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2016,Explosives,Private Citizens & Property
Mosul,36.354146,43.143571,2016,Firearms,Private Citizens & Property
Madain,33.100528,44.584493,2016,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2016,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2016,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2016,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2016,Explosives,Private Citizens & Property
Husseiniyah,33.548307,44.415735,2016,Explosives,Private Citizens & Property
Madain,33.100528,44.584493,2016,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2016,Firearms,Government (General)
Ramadi,33.420949,43.295662,2016,Explosives,Military
Ramadi,33.420949,43.295662,2016,Explosives,Military
Baqubah,33.743239,44.623824,2016,Explosives,Private Citizens & Property
Hawr Rajab,33.19392,44.408578,2016,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2016,Explosives,Business
Nahrawan,33.37576,44.702866,2016,Explosives,Private Citizens & Property
Baqubah,33.743239,44.623824,2016,Explosives,Private Citizens & Property
Baghdad,33.435667,44.534135,2016,Explosives,Private Citizens & Property
Tarmiyah,33.66969,44.381316,2016,Explosives,Military
Baghdad,33.303567,44.371771,2016,Explosives,Private Citizens & Property
Madain,33.100528,44.584493,2016,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2016,Explosives,Private Citizens & Property
Taji,33.540671,44.251268,2016,Explosives,Police
Baghdad,33.303567,44.371771,2016,Explosives,Private Citizens & Property
Husseiniyah,33.548307,44.415735,2016,Explosives,Private Citizens & Property
Latifiyah,32.982932,44.361597,2016,Firearms,Military
Abu Ghraib,33.31065,44.038206,2016,Firearms,Private Citizens & Property
Taji,33.540671,44.251268,2016,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2016,Explosives,Business
Baghdad,33.303567,44.371771,2016,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2016,Explosives,Government (General)
Baghdad,33.303567,44.371771,2016,Explosives,Business
Yusufiyah,33.07835,44.254721,2016,Explosives,Police
Madain,33.100528,44.584493,2016,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2016,Firearms,Business
Ramadi,33.420949,43.295662,2016,Explosives,Military
Baghdad,33.303567,44.371771,2016,Firearms,Private Citizens & Property
Baghdad,33.303567,44.371771,2016,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2016,Firearms,Private Citizens & Property
Baghdad,33.303567,44.371771,2016,Explosives,Government (General)
Mahmudiyah,33.057992,44.354838,2016,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2016,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2016,Explosives,Private Citizens & Property
Abu Ghraib,33.31065,44.038206,2016,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2016,Explosives,Private Citizens & Property
Baqubah,33.743239,44.623824,2016,Firearms,Terrorists/Non-State Militia
Baghdad,33.303567,44.371771,2016,Explosives,Terrorists/Non-State Militia
Hawr Rajab,33.19392,44.408578,2016,Explosives,Private Citizens & Property
Tarmiyah,33.66969,44.381316,2016,Explosives,Police
Taji,33.540671,44.251268,2016,Explosives,Police
Baghdad,33.303567,44.371771,2016,Explosives,Police
Fallujah,33.349159,43.784197,2016,Explosives,Military
Taji,33.540671,44.251268,2016,Firearms,Private Citizens & Property
Baghdad,33.303567,44.371771,2016,Explosives,Government (General)
Baghdad,33.303567,44.371771,2016,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2016,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2016,Firearms,Government (General)
Tarmiyah,33.66969,44.381316,2016,Explosives,Police
Taji,33.540671,44.251268,2016,Explosives,Business
Mahmudiyah,33.057992,44.354838,2016,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2016,Explosives,Government (General)
Baghdad,33.303567,44.371771,2016,Explosives,Private Citizens & Property
Madain,33.100528,44.584493,2016,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2016,Explosives,Government (General)
Mahmudiyah,33.057992,44.354838,2016,Explosives,Private Citizens & Property
Abu Ghraib,33.31065,44.038206,2016,Explosives,Private Citizens & Property
Yusufiyah,33.07835,44.254721,2016,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2016,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2016,Firearms,Military
Baghdad,33.303567,44.371771,2016,Firearms,Terrorists/Non-State Militia
Baghdad,33.303567,44.371771,2016,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2016,Explosives,Military
Baghdad,33.303567,44.371771,2016,Explosives,Private Citizens & Property
Taji,33.540671,44.251268,2016,Explosives,Private Citizens & Property
Madain,33.100528,44.584493,2016,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2016,Explosives,Police
Mosul,36.354146,43.143571,2016,Explosives,Military
Ramadi,33.420949,43.295662,2016,Explosives,Military
Baghdad,33.303567,44.371771,2016,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2016,Firearms,Private Citizens & Property
Baghdad,33.303567,44.371771,2016,Explosives,Transportation
Abu Ghraib,33.31065,44.038206,2016,Explosives,Private Citizens & Property
Yusufiyah,33.07835,44.254721,2016,Explosives,Private Citizens & Property
Hawr Rajab,33.19392,44.408578,2016,Explosives,Terrorists/Non-State Militia
Baghdad,33.303567,44.371771,2016,Explosives,Private Citizens & Property
Madain,33.100528,44.584493,2016,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2016,Explosives,Business
Baghdad,33.303567,44.371771,2016,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2016,Explosives,Government (General)
Baghdad,33.303567,44.371771,2016,Explosives,Private Citizens & Property
Saba al-Bor,33.460821,44.157432,2016,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2016,Firearms,Other
Nahrawan,33.37576,44.702866,2016,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2016,Explosives,Business
Baghdad,33.303567,44.371771,2016,Firearms,Private Citizens & Property
Baghdad,33.303567,44.371771,2016,Explosives,Transportation
Baghdad,33.303567,44.371771,2016,Explosives,Private Citizens & Property
Yusufiyah,33.07835,44.254721,2016,Explosives,Police
Baghdad,33.303567,44.371771,2016,Explosives,Business
Baghdad,33.303567,44.371771,2016,Explosives,Terrorists/Non-State Militia
Baghdad,33.303567,44.371771,2016,Explosives,Business
Madain,33.100528,44.584493,2016,Explosives,Business
Kirkuk,35.452112,44.375464,2016,Firearms,Business
Baghdad,33.303567,44.371771,2016,Explosives,Business
Tarmiyah,33.66969,44.381316,2016,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2016,Explosives,Business
Ramadi,33.420949,43.295662,2016,Explosives,Military
Nahrawan,33.37576,44.702866,2016,Explosives,Business
Ramadi,33.420949,43.295662,2016,Explosives,Military
Fallujah,33.349159,43.784197,2016,Explosives,Military
Baghdad,33.303567,44.371771,2016,Explosives,Military
Baghdad,33.303567,44.371771,2016,Explosives,Business
Baghdad,33.303567,44.371771,2016,Explosives,Private Citizens & Property
Husseiniyah,33.548307,44.415735,2016,Explosives,Business
Baghdad,33.303567,44.371771,2016,Explosives,Government (General)
Baghdad,33.303567,44.371771,2016,Explosives,Business
Nahrawan,33.37576,44.702866,2016,Explosives,Private Citizens & Property
Mosul,36.354146,43.143571,2016,Explosives,Military
Ramadi,33.420949,43.295662,2016,Explosives,Military
Baghdad,33.303567,44.371771,2016,Explosives,Police
Baghdad,33.303567,44.371771,2016,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2016,Explosives,Private Citizens & Property
Hawr Rajab,33.19392,44.408578,2016,Explosives,Terrorists/Non-State Militia
Baghdad,33.303567,44.371771,2016,Explosives,Business
Baghdad,33.303567,44.371771,2016,Explosives,Business
Baghdad,33.303567,44.371771,2016,Explosives,Private Citizens & Property
Taji,33.540671,44.251268,2016,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2016,Explosives,Terrorists/Non-State Militia
Saba al-Bor,33.460821,44.157432,2016,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2016,Explosives,Private Citizens & Property
Kirkuk,35.452112,44.375464,2016,Explosives,Police
Nahrawan,33.37576,44.702866,2016,Explosives,Business
Baghdad,33.303567,44.371771,2016,Explosives,Business
